timestamp,ch4_pct_lel,temperature_c,error_code,rssi,snr
2026-08-28T20:15:12,ch4_pct_lel,temperature_c,error_code,rssi,snr
2026-08-28T20:21:53,0.00,29.30,0,-116,5.75
2026-08-28T20:21:54,0.00,29.30,0,-117,5.50
2026-08-28T20:21:55,0.00,29.30,0,-117,6.00
2026-08-28T20:21:56,0.00,29.30,0,-117,5.50
2026-08-28T20:21:57,0.00,29.30,0,-116,5.25
2026-08-28T20:21:59,0.00,29.30,0,-117,5.75
2026-08-28T20:22:00,0.00,29.30,0,-117,6.00
2026-08-28T20:22:01,0.00,29.30,0,-116,5.50
2026-08-28T20:22:02,0.00,29.30,0,-116,5.75
2026-08-28T20:22:03,0.00,29.30,0,-117,5.75
2026-08-28T20:22:04,0.00,29.30,0,-116,5.50
2026-08-28T20:22:05,0.00,29.40,0,-116,5.50
2026-08-28T20:22:06,0.00,29.40,0,-116,6.00
2026-08-28T20:22:07,0.00,29.40,0,-116,5.75
2026-08-28T20:22:08,0.00,29.40,0,-116,6.00
2026-08-28T20:22:09,0.00,29.40,0,-116,5.75
2026-08-28T20:22:11,0.00,29.40,0,-116,5.25
2026-08-28T20:22:12,0.00,29.40,0,-116,5.75
2026-08-28T20:22:13,0.00,29.40,0,-116,5.75
2026-08-28T20:22:14,0.00,29.40,0,-116,6.00
2026-08-28T20:22:15,0.00,29.40,0,-116,5.75
2026-08-28T20:22:16,0.00,29.40,0,-116,5.50
2026-08-28T20:22:17,0.00,29.40,0,-116,5.75
2026-08-28T20:22:18,0.00,29.50,0,-116,5.75
2026-08-28T20:22:19,0.00,29.50,0,-116,5.75
2026-08-28T20:22:20,0.00,29.50,0,-116,5.75
2026-08-28T20:22:22,0.00,29.50,0,-116,5.75
2026-08-28T20:22:23,0.00,29.50,0,-116,5.75
2026-08-28T20:22:24,0.00,29.50,0,-116,5.75
2026-08-28T20:22:25,0.00,29.50,0,-116,5.75
2026-08-28T20:22:26,0.00,29.50,0,-116,5.50
2026-08-28T20:22:27,0.00,29.50,0,-116,5.75
2026-08-28T20:22:28,0.00,29.50,0,-116,5.50
2026-08-28T20:22:29,0.00,29.50,0,-116,5.50
2026-08-28T20:22:30,0.00,29.60,0,-116,6.00
2026-08-28T20:22:31,0.00,29.60,0,-116,5.50
2026-08-28T20:22:32,0.00,29.60,0,-116,6.25
2026-08-28T20:22:34,0.00,29.60,0,-116,5.75
2026-08-28T20:22:35,0.00,29.60,0,-116,5.50
2026-08-28T20:22:36,0.00,29.60,0,-116,5.75
2026-08-28T20:22:37,0.00,29.60,0,-116,5.75
2026-08-28T20:22:38,0.00,29.60,0,-116,6.00
2026-08-28T20:22:39,0.00,29.60,0,-116,5.75
2026-08-28T20:22:40,0.00,29.60,0,-116,6.00
2026-08-28T20:22:41,0.00,29.60,0,-116,5.75
2026-08-28T20:22:42,0.00,29.60,0,-116,5.75
2026-08-28T20:22:43,0.00,29.60,0,-116,5.75
2026-08-28T20:22:44,0.00,29.60,0,-116,5.75
2026-08-28T20:22:46,0.00,29.70,0,-116,6.00
2026-08-28T20:22:47,0.00,29.70,0,-115,6.75
2026-08-28T20:22:48,0.00,29.70,0,-116,6.50
2026-08-28T20:22:49,0.00,29.70,0,-116,6.00
2026-08-28T20:22:50,0.00,29.70,0,-116,5.75
2026-08-28T20:22:51,0.00,29.70,0,-116,6.25
2026-08-28T20:22:52,0.00,29.70,0,-116,6.00
2026-08-28T20:22:53,0.00,29.70,0,-115,6.00
2026-08-28T20:22:54,0.00,29.70,0,-116,6.25
2026-08-28T20:22:55,0.00,29.70,0,-116,6.00
2026-08-28T20:22:56,0.00,29.70,0,-115,6.25
2026-08-28T20:22:58,0.00,29.80,0,-115,6.25
